country,unaids.region,unaids.region.id
Tajikistan,UNAIDS Region - Eastern Europe and Central Asia,TJK
Thailand,UNAIDS Region - Asia and the Pacific,THA
Macedonia,UNAIDS Region - Eastern Europe and Central Asia,MKD
Timor-Leste,UNAIDS Region - Asia and the Pacific,TLS
Togo,UNAIDS Region - West and Central Africa,TGO
Tonga,UNAIDS Region - Asia and the Pacific,TON
Trinidad and Tobago,UNAIDS Region - Latin America and the Caribbean,TTO
Turkey,UNAIDS Region - Western & Central Europe and North America,TUR
Turkmenistan,UNAIDS Region - Eastern Europe and Central Asia,TKM
Tuvalu,UNAIDS Region - Asia and the Pacific,TUV
Uganda,UNAIDS Region - East and Southern Africa,UGA
Ukraine,UNAIDS Region - Eastern Europe and Central Asia,UKR
United Kingdom,UNAIDS Region - Western & Central Europe and North America,GBR
Tanzania,UNAIDS Region - East and Southern Africa,TZA
United States,UNAIDS Region - Western & Central Europe and North America,USA
Uruguay,UNAIDS Region - Latin America and the Caribbean,URY
Uzbekistan,UNAIDS Region - Eastern Europe and Central Asia,UZB
Vanuatu,UNAIDS Region - Asia and the Pacific,VUT
Venezuela,UNAIDS Region - Latin America and the Caribbean,VEN
Vietnam,UNAIDS Region - Asia and the Pacific,VNM
Zambia,UNAIDS Region - East and Southern Africa,ZMB
Zimbabwe,UNAIDS Region - East and Southern Africa,ZWE
